AO,geriatrics
2004_AO171,0.91676629449536
2012_AO0007,0.9166719100918123
2004_AO177,0.9125946952172211
2010_AO032,0.8473208008567565
2015_AO0009,0.8420287030720055
2009_AO011,0.7594416491977813
1990_AO89A,0.7279042418584527
2016_AO0001,0.7278429481801975
2011_AO0017,0.7215987779901666
2011_AO0003,0.7190488636990429
2011_AO0018,0.7172963954639763
2012_AO0029,0.7039378239542323
2016_AO0014,0.684160995136253
2010_AO004,0.6834952073021583
2017_AO0001,0.6791331817074373
2007_AO004,0.6687957867081165
1995_AO016A,0.6682222654313829
2009_AO023,0.6237711733390364
2005_AO006,0.622719682376255
2017_AO0008,0.6175849899231368
1973_AO188A,0.587181392016607
2010_AO022,0.5728125149162835
2014_AO0009,0.569947558277888
2011_AO0013,0.5580034218024037
2003_AO122,0.5532888536837411
2009_AO010,0.5481223224713957
2016_AO0034,0.5354836133924025
1998_AO019,0.5310304306612801
2012_AO0023 (VERSION 2),0.5235273351791818
2012_AO0023,0.5228293822767943
2012_AO0023 (Version 2),0.5227702502966085
1997_AO031A,0.5191568434678747
2016_AO0039,0.5155318313276417
2016_AO0024,0.5129592426397818
2000_AO121,0.5097395229358498
2007_AO009,0.5077649516884962
2005_AO011,0.5076292585746635
2011_AO0004,0.5014089634158135
2015_AO051,0.49590394660702775
1993_AO015,0.49381592907192484
