AO,geriatrics
2011_AO0013,0.6270599089231238
2014_AO0009,0.6185980982710075
2010_AO013,0.5870814061490534
2016_AO0034,0.5737448460145516
2015_AO051,0.5661584671791218
2016_AO0009,0.5637726795215151
2014_AO0033,0.5586719176078558
2000_AO04A,0.5583726800218928
2003_AO034A,0.5572597845345871
2008_AO013,0.5529448151281422
1997_AO031A,0.5496835567440772
2012_AO0023 (VERSION 2),0.5448011147822652
2012_AO0023 (Version 2),0.5444639424408326
2012_AO0023,0.5443432937684519
1989_AO063,0.5412762970438088
1991_AO111B,0.5339811942589108
1988_AO051,0.5338526240270169
2015_AO053,0.5311462475881517
1993_AO008,0.5301642517253982
1989_AO062,0.5286989449092798
2017_AO0003,0.5284568242450747
2013_AO0006,0.5238024726625852
2013_AO0006 (VERSION 2),0.5237271606939041
2000_AO082,0.5231625637355432
2015_AO052,0.5230298155615638
2013_AO0010,0.5211692782385775
